chapter_no	chapter_title	eng	kor	remark
1	The Tiger in the Road	station wagon	스테이션왜건 (뒷좌석 뒤가 짐칸으로 뚫려 있는 승용차)	뒷좌석 뒤로 지붕이 그대로 이어져 트렁크가 따로 없이 짐칸이 실내로 뚫려 있는 승용차입니다. 미국에서 1950~1980년대에 아이가 여럿인 집이 짐을 잔뜩 싣고 장거리를 다니던 대표적인 가족차라, 지금은 낡고 실용적이라는 인상이 강합니다. 릴리네가 캘리포니아에서 워싱턴주까지 여덟 시간을 달려온 차가 이 낡은 station wagon이고 세 식구의 살림이 전부 그 안에 들어 있습니다. 이사가 여유 있는 선택이 아니라 형편에 맞춘 결정이었다는 사정이 차 한 대로 드러납니다.
1	The Tiger in the Road	Washington State	워싱턴주 (미국 북서부 태평양 연안의 주)	워싱턴주는 미국 북서부 태평양 연안의 주이며 시애틀이 있습니다. 수도 워싱턴 D.C.와 구별하려고 Washington State라고도 부릅니다. 다만 주 전체가 늘 비가 많은 것은 아닙니다. 캐스케이드산맥 서쪽은 태평양의 습한 공기 때문에 비와 흐린 날이 잦지만, 산맥 동쪽은 비그늘에 들어 훨씬 건조합니다. 소설 속 Sunbeam은 비가 잦고 7월에도 서늘한 서부 워싱턴의 이미지로 그려집니다. 햇살을 뜻하는 마을 이름이 ‘저희끼리 아는 농담’처럼 들리고, 캘리포니아의 햇빛을 떠나 축축하고 어두운 곳으로 들어왔다는 분위기를 만듭니다.
1	The Tiger in the Road	Way to deflect	말 돌리는 솜씨 좋네 (칭찬 표현을 비꼬아 쓴 것)	Way to go!는 "잘했어!"라는 칭찬입니다. 그런데 뒤에 못마땅한 행동을 붙여 Way to ruin it, Way to deflect처럼 쓰면 뜻이 정반대로 뒤집혀 비아냥이 됩니다. 어휘 시트가 알려 주는 deflect(말을 돌려 피하다)의 뜻만으로는 이 문장이 칭찬인지 빈정거림인지 가려낼 수 없습니다. 샘은 엄마가 자기 질문에 답하지 않고 화제를 바꾸자 이 말을 던집니다. 열여섯 살이 엄마에게 쓰기에는 꽤 날 선 말이고, 그래서 바로 뒤에 "샘은 여전히 화가 났지만 조금은 김이 빠져 있었다"는 문장이 따라붙습니다.
1	The Tiger in the Road	slug-slow	민달팽이처럼 느린 (작가가 붙임표로 만들어 낸 말)	이 소설은 사전에 없는 말을 붙임표로 만들어 쓰는 일이 아주 잦습니다. 1장만 해도 slug-slow(민달팽이처럼 느린), tap-taps(톡톡 두드리다), flick-flick(눈을 휙휙 굴리다), jump-dancing(가슴이 뛰며 춤추듯 하는), invisibleinvisibleinvisible처럼 붙여 쓴 것이 줄줄이 나옵니다. 뒤로 가면 creaky-cozy, whisper-fierce, tight-tight, rice-paper hands, light-lifetimes, busy silence처럼 더 어려운 것도 나옵니다. 사전을 찾아도 나오지 않으니 오타로 오해하기 쉬운데, 열두 살 릴리가 제 느낌에 딱 맞는 말이 없어 직접 만들어 쓰는 것으로 읽으면 됩니다.
2	Long, Long Ago	Long, long ago, when tiger walked like man	옛날 옛적 호랑이가 사람처럼 걷던 시절에	영어 옛이야기가 언제나 Once upon a time으로 시작하듯 한국 옛이야기는 "옛날 옛적 호랑이 담배 피우던 시절에"로 시작합니다. 작가는 그 한국식 도입구를 영어로 옮겨 할머니의 입에 그대로 붙였고, 영어 독자에게 낯설게 들리도록 tiger 앞의 관사까지 일부러 뺐습니다. 이 한 줄이 나올 때마다 이야기가 시작되므로 소설 전체의 신호음 노릇을 합니다. 영어로 쓰인 책 한가운데에 한국식 어투가 번역되지 않은 채 남아 있다는 것 자체가, 이 가족이 두 나라에 걸쳐 살고 있음을 문장으로 보여 주는 장치입니다.
3	The Blocked Basement	QAG	Quiet Asian Girl (조용한 아시아 여자애) — 미국의 아시아계 고정관념	Sam이 만들어 쓰는 줄임말로 Quiet Asian Girl, 곧 조용한 아시아 여자애라는 뜻입니다. 미국에는 아시아계 학생을 공부만 열심히 하고 말이 없으며 시키는 대로 따르는 존재로 보는 오래된 고정관념이 있어서, 가만히 있으면 곧바로 그 틀에 끼워 넣어집니다. Sam이 검은 립스틱을 바르고 머리 한 가닥을 하얗게 탈색하고 떠오르는 말을 다 뱉는 것은 그 틀에 들어가지 않으려는 몸부림입니다. 그래서 릴리에게 "QAG처럼 군다"고 하는 말은 조용하다는 지적이 아니라, 남이 만들어 놓은 아시아인의 자리에 순순히 들어가 앉는다는 비난입니다.
3	The Blocked Basement	smudge sticks	세이지 다발 (태워서 나쁜 기운을 쫓는 마른 허브 묶음)	세이지 같은 마른 허브를 다발로 묶어 불을 붙인 뒤 그 연기로 공간의 나쁜 기운을 몰아낸다는 물건입니다. 아메리카 원주민의 정화 의례에서 온 것인데 지금은 미국의 대체요법 가게나 잡화점에서 흔히 파는 생활용품이 되었습니다. 할머니 집은 천장에 매단 바구니와 조리대와 그릇마다 이 묶음이 놓여 있습니다. 한국식 부적이나 고사와는 뿌리가 전혀 다른 미국 물건이라는 점이 중요합니다. 할머니가 한국에서 가져온 믿음만 지키는 사람이 아니라 미국에서 만난 방식까지 거리낌 없이 끌어다 쓰는 사람이라는 것을 집 안 풍경이 먼저 알려 줍니다.
3	The Blocked Basement	grandfather clock	괘종시계 (사람 키만 한 나무통 안에 추가 든 큰 시계)	사람 키보다 큰 나무통 안에 추와 종이 들어 있어 한 시간마다 종을 치는 서양식 큰 시계입니다. 원래 이름은 longcase clock이었는데 1876년에 나온 노래 〈My Grandfather’s Clock〉이 크게 유행하면서 이 이름으로 굳었습니다. 할아버지의 시계라는 뜻이 아니라 시계 종류의 이름이므로 그대로 옮기면 어긋납니다. 서양 이야기에서는 오래된 집과 흘러가는 시간을 함께 나타내는 물건으로 자주 쓰이는데, 할머니 집 거실 구석에서 혼자 째깍대는 이 시계가 남은 시간을 세고 있다는 점에서 이 소설에도 꼭 들어맞습니다.
4	Food for the Spirits	Tsst	츳 (개를 제지할 때 내는 짧은 소리)	본문은 "개 훈련사가 나오는 TV 프로그램에서 개를 다스릴 때 내던 소리"라고만 하고 프로그램 이름을 밝히지 않지만, 미국 시청자라면 시저 밀란이 진행한 내셔널 지오그래픽의 〈도그 위스퍼러〉를 곧바로 떠올립니다. 밀란은 짖거나 달려드는 개에게 손가락을 세우고 "츳!" 하는 짧은 소리를 내 주의를 끊는 방법으로 유명했습니다. 할머니가 딸의 잔소리를 이 소리 하나로 잘라 버리는 장면이라 이 집에서 누가 위인지가 단번에 정해집니다. 다 자란 딸을 훈련받는 개처럼 다룬 셈이어서 우스우면서도 서늘합니다.
4	Food for the Spirits	It’s a whole thing	얘기하자면 길어 (사연이 복잡할 때 쓰는 미국 구어)	그대로 옮기면 "그건 하나의 통째"가 되어 뜻이 통하지 않습니다. 미국에서 아주 흔히 쓰는 구어로, 설명하자면 사연이 길고 복잡해서 지금은 말하고 싶지 않다는 뜻입니다. 사전에도 잘 실리지 않아 문장 그대로 읽으면 걸리는 표현입니다. 샘의 흰 머리 한 가닥을 두고 엄마는 탈색이라 하고 샘은 원래 그렇게 난다고 우기고 할머니는 집안 내력이라며 편을 드는데, 릴리가 그 실랑이를 한 줄로 접으며 이 말을 씁니다. 이 집에서 이미 여러 번 되풀이된 싸움이라는 뜻이고, 실제로 그 흰 머리 한 가닥은 뒤에 가서 훨씬 큰 뜻을 갖게 됩니다.
