chapter_no	chapter_title	question_no	question	choice_1	choice_2	choice_3	choice_4	answer	evidence	explanation
1	The Tiger in the Road	1	릴리가 자신에게 있다고 믿는 능력은?	동물과 말하는 것	아주 빨리 달리는 것	투명해지는 것	미래를 보는 것	3	[RED: I can turn invisible. It’s a superpower, or at least a secret power. But it’s not like in the movies, and I’m not a superhero, so don’t start thinking that.] Heroes are the stars who save the day.	릴리는 자신이 남의 눈에 띄지 않는 것을 마법이라고 부릅니다.
1	The Tiger in the Road	2	언니 샘은 릴리의 그 능력을 뭐라고 부르나요?	그냥 수줍음	거짓말	병	진짜 마법	1	But now I understand: it’s because I’m magic. [RED: My older sister, Sam, says it’s not a real supersecret power—it’s just called being shy. But Sam can be rude.] And the truth is, my power can come in handy.	샘은 마법이 아니라 소심한 성격일 뿐이라고 말합니다.
1	The Tiger in the Road	3	What is the name of Halmoni's town?	Rainville	Moonbeam	Sunbeam	Sunshine	3	But she ticks the windshield wipers up a notch and taps the brakes until we’re going slug-slow. [RED: The rain started as soon as we entered Washington State, and it only gets worse as our car inches past the hand-painted WELCOME TO SUNBEAM! sign.] Welcome to Halmoni’s town, a town of nonstop rain, its name like an inside joke.	손으로 쓴 표지판에 마을 이름 Sunbeam이 적혀 있습니다.
1	The Tiger in the Road	4	엄마가 캘리포니아를 떠난 이유로 든 것은?	새 직장을 구해서	할머니와 더 지내려고	샘의 학교 문제로	집세가 비싸서	2	I’m just trying not to think about that. [RED: “I thought you should spend more time with your grandmother. I thought you enjoyed that.” Mom’s tone is clipped.] The rain has gotten heavier, and it sucks up her focus.	엄마는 아이들이 할머니와 더 지내야 한다고 생각했습니다.
1	The Tiger in the Road	5	가족이 빗길 운전을 특히 불안해하는 이유는?	아빠가 사고로 돌아가셔서	길이 험해서	차가 낡아서	엄마가 초보라서	1	The rain has gotten heavier, and it sucks up her focus. [RED: Her fingers white-knuckle the steering wheel. None of us like the idea of driving in this weather, not after Dad died.] I concentrate on the steering wheel and squint a little, sending safety vibes with my mind, like Halmoni taught me.	아빠를 잃은 뒤로 온 가족이 빗속 운전을 두려워합니다.
1	The Tiger in the Road	6	릴리가 들은 '쿵' 소리의 정체는?	샘의 휴대폰이 떨어진 소리	천둥소리	트렁크가 열린 소리	호랑이를 친 소리	1	Nothing’s there. [RED: Mom’s jaw tightens. “Sam, please don’t throw your expensive phone around.” I stare at them, confused.] If the thud was just her phone hitting the floor—	엄마의 말에서 샘이 던진 휴대폰 소리였음이 드러납니다.
1	The Tiger in the Road	7	What happens to the tiger after the car passes?	It runs into the woods.	It disappears.	It is hit by the car.	It jumps onto the hood.	2	If the thud was just her phone hitting the floor— [RED: I twist to look for the tiger, but all I see is rain and road. The tiger disappeared.] “Lily?”	뒤를 돌아봤을 때 도로에는 비와 길뿐이었습니다.
2	Long, Long Ago	1	할머니가 이야기를 시작할 때 늘 쓰는 첫 문장은?	Long, long ago, when tiger walked like man...	Once there was a girl who could fly...	In a land far across the sea...	Listen closely, my child...	1	[RED: Halmoni’s stories all start the same way, with the Korean version of “once upon a time”: Long, long ago, when tiger walked like man…] Back in California, in the weeks leading up to Halmoni’s visits, Sam and I would whisper those words to one another.	한국 옛이야기의 첫머리에 해당하는 문장입니다.
2	Long, Long Ago	2	자매가 가장 좋아하는 이야기의 두 주인공은?	언니(Unya)와 동생(Eggi)	나무꾼과 선녀	어부와 그의 딸	두 형제	1	Our favorite story. [RED: “The one about Unya,” Sam would say. Big sister. “And Eggi,” I would add. Baby sister. “The tiger story.”] That story always felt special, like there was a secret shimmering beneath the words.	샘은 언니를, 릴리는 동생을 골라 부르며 이야기를 청합니다.
2	Long, Long Ago	3	Why must they run to the house in the rain?	Mom forgot the umbrellas.	The driveway is flooded.	Halmoni locked the garage.	The car breaks down.	1	She plasters a grin on her face, trying to be cheerful, to erase all the bickering and stress of the car ride. [RED: “Bad news: I left the umbrellas back in California.” She grins, like Ha-ha, whoops, funny. “So we’ve just gotta make a break for it.”] I stare at Halmoni’s home.	엄마가 우산을 캘리포니아에 두고 왔습니다.
2	Long, Long Ago	4	Where is Halmoni's house?	Next to the school	Right on the beach	In the middle of town	Across from the library	4	Finally, we reach Halmoni’s house. [RED: It’s a small cottage, at the edge of town, at the top of a hill, across the street from the library and surrounded by woods.] Mom turns onto the long driveway, and we crunch-crunch up the gravel, until we reach the top.	언덕 꼭대기, 도서관 건너편의 작은 오두막입니다.
2	Long, Long Ago	5	현관에 도착한 세 사람에게 벌어진 일은?	할머니가 반겨 주었다	문이 잠겨 있고 할머니가 없었다	정전이 되었다	이웃이 열쇠를 주었다	2	By the time Sam and I get to the top of the stairs—panting, dripping—I’ve wrung all the air out of my lungs, and my heart is bursting. [RED: Mom waits for us on the front stoop, which is nice, I guess, but kind of strange because she should open the door and go inside. She shakes her head and frowns. “Halmoni isn’t answering,” she says. “She’s not here.”]	힘들게 계단을 올라왔지만 할머니는 집에 없었습니다.
3	The Blocked Basement	1	엄마가 잠긴 집에 들어간 방법은?	이웃에게 열쇠를 빌렸다	뒷문이 열려 있었다	열쇠로 문을 열었다	거실 창문으로 넘어 들어갔다	4	“Well, this is normal,” Sam says, voice laced with sarcasm. [RED: Then Mom shoves the window open. She glances over at us before hoisting herself up and tumbling headfirst into the house.] “Whoa,” I whisper.	엄마는 거실 창문을 열고 머리부터 넘어 들어갔습니다.
3	The Blocked Basement	2	아빠가 돌아가셨을 때 두 자매의 나이는?	샘 9살, 릴리 6살	샘 5살, 릴리 3살	샘 10살, 릴리 7살	샘 7살, 릴리 4살	4	“That’s just naive,” she mutters. [RED: Thinking about Dad is different for Sam than it is for me. She’s old enough to remember him. When he died in a car accident, she was seven. I was only four.] “Sam…,” I start, but I don’t know how to finish the sentence.	샘은 아빠를 기억하지만 릴리는 너무 어려서 기억하지 못합니다.
3	The Blocked Basement	3	What is blocking the basement door?	A heavy bookshelf	Baskets of dried herbs	A locked iron gate	Korean chests and boxes	4	At the other end of the living room, there’s Halmoni’s bedroom, the bathroom, and two staircases: one that goes up to the attic bedroom, and one that goes down to the basement. [RED: But now, in front of the basement door, there’s a tower of engraved Korean chests and cardboard boxes, stacked like a barricade.] Mom shakes her head.	지하실 문 앞에 궤짝과 상자가 바리케이드처럼 쌓여 있습니다.
3	The Blocked Basement	4	릴리가 할머니 집에서 맡은 냄새가 아닌 것은?	세탁 세제	갓 내린 커피	메밀국수	세이지	2	And everywhere—in baskets hung from the ceiling, sitting on countertops, stuffed into bowls—are bundles of herbs and smudge sticks, to cast away bad energy. [RED: When I breathe the house in, the scent of buckwheat noodles, sage, and laundry detergent smells like home.] Sam’s less happy.	세 가지 냄새가 집 냄새로 나오고 커피는 언급되지 않습니다.
